OBJECTID,Australia_test2_CNTRY_NAME,Australia_test2_ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
95,Sierra Leone,95,342963,5.954218845,0,26.74365234,26.74365234,0.008080129,0.186678712,2771.185192
33,Singapore,33,2576,0.044722223,0,245.6830292,245.6830292,51.59054428,33.75617193,132897.2421
67,Slovakia,67,344304,5.977500096,0,141.7135162,141.7135162,0.578632885,3.470246694,199225.6167
94,Slovenia,94,136911,2.376927121,0,131.9362488,131.9362488,0.607898785,2.788596663,83228.03051
3,Solomon Islands,3,127837,2.219392397,0,9.489116669,9.489116669,0.002045987,0.079898999,261.5528682
97,Somalia,97,2900143,50.34970567,0,27.48055267,27.48055267,0.001901301,0.104522718,5514.045071
30,Somalia,30,98956,1.717986139,0,0.900216877,0.900216877,4.71173E-05,0.004697513,4.662541211
28,South Africa,28,6522456,113.2370851,0,792.3562622,792.3562622,0.26534013,2.443040708,1730669.323
31,South Georgia and the South Sandwich Is,31,29676,0.515208342,0,0.251104236,0.251104236,5.17342E-05,0.00313258,1.53526336
18,South Korea,18,562609,9.767517517,0,281.7901611,281.7901611,3.184386785,9.445167729,1791564.665
98,Spain,98,3087618,53.60448002,0,550.0990601,550.0990601,1.367215804,7.793898659,4221440.128
27,Spratly Islands,27,21,0.000364583,0,0,0,0,0,0
7,Sri Lanka,7,311734,5.412048698,0,173.3843384,173.3843384,0.174653828,1.288453012,54445.53654
29,St. Helena,29,630,0.0109375,0,1.494140625,1.494140625,0.031940838,0.137824471,20.12272801
37,St. Kitts and Nevis,37,956,0.016597222,0,37.86006927,37.86006927,2.373120463,4.694226375,2268.703162
38,St. Lucia,38,3056,0.053055556,0,35.34310532,35.34310532,1.866763803,3.100721094,5704.830182
92,St. Pierre and Miquelon,92,1519,0.026371528,0,14.13075829,14.13075829,0.091901235,0.790292646,139.5979762
42,St. Vincent and the Grenadines,42,1644,0.028541667,0,21.99913597,21.99913597,0.625729233,1.552825204,1028.698858
100,Sudan,100,12018659,208.6572776,0,3174.486572,3174.486572,0.014581715,1.6262743,175252.6602
84,Suriname,84,680302,11.8107988,0,120.3266754,120.3266754,0.03840919,0.83686384,26129.84854
101,Svalbard,101,3437,0.05967014,0,0,0,0,0,0
36,Swaziland,36,89266,1.549756969,0,55.43333817,55.43333817,0.209121975,1.414082858,18667.48224
102,Sweden,102,4525396,78.56590403,0,871.1160889,871.1160889,0.376036653,3.833679626,1701714.763
104,Switzerland,104,281600,4.888888967,0,112.5417633,112.5417633,0.977820839,3.749919377,275354.3482
103,Syria,103,1069465,18.56710099,0,1450.794189,1450.794189,0.1526438,2.79835115,163247.2016
36,Taiwan,36,184574,3.204409773,0,245.0167694,245.0167694,4.338108624,10.27240496,800702.0612
35,Tajikistan,35,847615,14.71553843,0,110.0886688,110.0886688,0.082006314,0.985381233,69509.78159
32,"Tanzania, United Republic of",32,4435669,77.00814359,-0.119762808,116.8022995,116.9220623,0.013798516,0.34741779,61205.64916
34,Thailand,34,2484885,43.14036527,0,201.5503235,201.5503235,0.542337107,2.914846267,1347645.343
106,Togo,106,270290,4.692534797,0,160.1159515,160.1159515,0.065020556,1.007193184,17574.40612
19,Tokelau,19,35,0.000607639,0,0,0,0,0,0
20,Tonga,20,2270,0.039409723,0,3.456812382,3.456812382,0.180966273,0.346450885,410.7934406
39,Trinidad and Tobago,39,23812,0.413402784,0,543.977417,543.977417,5.526970359,13.82202848,131608.2182
108,Tunisia,108,874797,15.18744816,0,488.5437317,488.5437317,0.44441678,3.738666336,388774.4658
109,Turkey,109,4676849,81.19529644,0,276.8904114,276.8904114,0.799152698,4.748343694,3737516.498
110,Turkmenistan,110,1550699,26.92185807,0,6549.376465,6549.376465,0.271342943,10.92203613,420771.2303
37,Turkmenistan,37,1280252,22.22659758,0,1588.928589,1588.928589,0.181905317,3.040817635,232884.6464
40,Turks and Caicos Islands,40,1442,0.025034723,0,3.135515928,3.135515928,0.08414428,0.28588904,121.3360523
19,Tuvalu,19,133,0.002309028,0,0,0,0,0,0
111,Uganda,111,870037,15.10480927,0,86.0597229,86.0597229,0.019149958,0.419287198,16661.17165
